Resultats per municipi - 2017

;;;;;;;;;;;;;;;;Ciutadans-Partido de la Ciudadanía (C's);;Junts per Catalunya (JUNTSxCAT);;Esquerra Republicana-Catalunya Sí (ERC-CatSí);;Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);;Catalunya en Comú-Podem (CatComú-Podem);;Candidatura d'Unitat Popular (CUP);;Partit Popular / Partido Popular (PP);;Partit Animalista contra el Maltractament Animal (PACMA);;Recortes Cero-Grupo Verde (RECORTES CERO-GRUPO VERDE);;Per un Món Més Just (PU M+J);;Diàleg Republicà (Candidatura retirada) (DIÀLEG (C. RETIRADA));;
Codi circumscripció;Codi municipi;Nom municipi;Cens electoral;Votants;% votants;Abstenció;% abstenció;Vots nuls;% vots nuls;Vots en blanc;% vots en blanc; Vots a candidatures;% vots a candidatures;Vots vàlids;% vots vàlids;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Codi comarca;Nom comarca;
08;039;Campins                                           ;       391;       346;088,49;        45;011,51;         2;000,58;         0;000,00;       344;099,42;       344;099,42;        23;006,69;       128;037,21;        90;026,16;        21;006,10;        19;005,52;        55;015,99;         4;001,16;         4;001,16;         0;000,00;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;040;Canet de Mar                                      ;    10.891;     8.936;082,05;     1.955;017,95;        26;000,29;        30;000,34;     8.880;099,37;     8.910;099,71;     1.656;018,59;     2.512;028,19;     2.407;027,01;       895;010,04;       511;005,74;       476;005,34;       332;003,73;        76;000,85;        15;000,17;         0;000,00;         0;000,00;21;Maresme                                 ;
08;041;Canovelles                                        ;    10.519;     8.324;079,13;     2.195;020,87;        36;000,43;        34;000,41;     8.254;099,16;     8.288;099,57;     3.085;037,22;       948;011,44;     1.140;013,75;     1.675;020,21;       646;007,79;       212;002,56;       427;005,15;        87;001,05;        34;000,41;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;042;Cànoves i Samalús                                 ;     2.281;     1.950;085,49;       331;014,51;         9;000,46;         9;000,46;     1.932;099,08;     1.941;099,54;       544;028,03;       362;018,65;       487;025,09;       235;012,11;       135;006,96;        80;004,12;        74;003,81;        13;000,67;         2;000,10;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;043;Canyelles                                         ;     3.240;     2.640;081,48;       600;018,52;         5;000,19;        11;000,42;     2.624;099,39;     2.635;099,81;       834;031,65;       475;018,03;       518;019,66;       382;014,50;       200;007,59;        74;002,81;       106;004,02;        31;001,18;         4;000,15;         0;000,00;         0;000,00;17;Garraf                                  ;
08;044;Capellades                                        ;     4.127;     3.454;083,69;       673;016,31;         8;000,23;        19;000,55;     3.427;099,22;     3.446;099,77;       749;021,74;       770;022,34;       872;025,30;       435;012,62;       154;004,47;       310;009,00;       102;002,96;        26;000,75;         9;000,26;         0;000,00;         0;000,00;06;Anoia                                   ;
08;045;Capolat                                           ;        70;        57;081,43;        13;018,57;         0;000,00;         0;000,00;        57;100,00;        57;100,00;         0;000,00;        30;052,63;        11;019,30;         1;001,75;         2;003,51;        10;017,54;         1;001,75;         1;001,75;         1;001,75;         0;000,00;         0;000,00;14;Berguedà                                ;
08;046;Cardedeu                                          ;    13.223;    11.392;086,15;     1.831;013,85;        44;000,39;        62;000,54;    11.286;099,07;    11.348;099,61;     2.090;018,42;     2.961;026,09;     3.109;027,40;     1.208;010,65;       756;006,66;       779;006,86;       295;002,60;        58;000,51;        30;000,26;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;047;Cardona                                           ;     3.807;     3.192;083,85;       615;016,15;        19;000,60;        26;000,81;     3.147;098,59;     3.173;099,40;       646;020,36;       887;027,95;       756;023,83;       462;014,56;       125;003,94;       135;004,25;       115;003,62;        17;000,54;         4;000,13;         0;000,00;         0;000,00;07;Bages                                   ;
08;048;Carme                                             ;       574;       494;086,06;        80;013,94;         3;000,61;         1;000,20;       490;099,19;       491;099,39;        52;010,59;       207;042,16;       147;029,94;        37;007,54;         7;001,43;        26;005,30;         8;001,63;         4;000,81;         2;000,41;         0;000,00;         0;000,00;06;Anoia                                   ;
08;049;Casserres                                         ;     1.305;     1.104;084,60;       201;015,40;         5;000,45;         7;000,63;     1.092;098,91;     1.099;099,55;        68;006,19;       543;049,41;       298;027,12;        26;002,37;        24;002,18;        93;008,46;        34;003,09;         6;000,55;         0;000,00;         0;000,00;         0;000,00;14;Berguedà                                ;
08;050;Castellar del Riu                                 ;       134;       123;091,79;        11;008,21;         0;000,00;         0;000,00;       123;100,00;       123;100,00;         8;006,50;        80;065,04;        23;018,70;         3;002,44;         0;000,00;         8;006,50;         1;000,81;         0;000,00;         0;000,00;         0;000,00;         0;000,00;14;Berguedà                                ;
08;051;Castellar del Vallès                              ;    18.162;    15.549;085,61;     2.613;014,39;        46;000,30;        90;000,58;    15.413;099,13;    15.503;099,70;     3.629;023,41;     3.536;022,81;     3.901;025,16;     1.856;011,97;     1.156;007,46;       694;004,48;       469;003,03;       152;000,98;        20;000,13;         0;000,00;         0;000,00;40;Vallès Occidental                       ;
